snap_index,cam0x,cam0y,cam1x,cam1y,cam3x,camy3,robx,roby,robz
252,0.6734375,0.22083333333333333,0.2703125,0.39791666666666653,0.71875,0.41041666666666665,-0.46478593,-0.11721094,-0.12400554
253,0.6796875,0.2625,0.3109375,0.36666666666666653,0.6609375,0.43125,-0.3660856,-0.17143369,-0.14704381
254,0.6703125,0.325,0.353125,0.3416666666666667,0.596875,0.4604166666666666,-0.24694824,-0.22746845,-0.18273892
255,0.6765625,0.3645833333333333,0.3640625,0.32916666666666666,0.5625,0.50625,-0.19366983,-0.274222,-0.20744859
256,0.690625,0.38333333333333336,0.3421875,0.32083333333333336,0.5640625,0.5208333333333334,-0.19161451,-0.31766772,-0.21423507
257,0.7078125,0.3895833333333333,0.3390625,0.34791666666666665,0.5765625,0.53125,-0.2266308,-0.3054943,-0.23859158
258,0.69375,0.41041666666666665,0.3734375,0.38333333333333336,0.5625,0.53125,-0.21373749,-0.2616126,-0.27669168
259,0.653125,0.42291666666666666,0.4046875,0.38333333333333336,0.5421875,0.5166666666666667,-0.1586535,-0.23448361,-0.2795934
260,0.59375,0.42291666666666666,0.453125,0.37916666666666665,0.51875,0.4791666666666667,-0.08746903,-0.1819606,-0.26992634
261,0.515625,0.39791666666666653,0.50625,0.39166666666666666,0.5390625,0.4083333333333333,-0.043392003,-0.076433554,-0.24779631
262,0.453125,0.3583333333333333,0.5578125,0.43125,0.55625,0.3729166666666667,-0.05152279,0.060076524,-0.23640923
